Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
100_500_1_4_5,22902,5711,5497,11891,22929,22929
100_500_1_5_5,26431,4658,5555,10518,26463,26463
100_500_2_1_5,5382,4662,3176,5403,5403,5403
100_500_2_2_5,10045,4948,2132,10083,10083,10083
100_500_2_3_5,14504,4582,3362,14081,14512,14512
100_500_2_4_5,18482,5246,3136,13054,18494,18494
100_500_2_5_5,21826,5434,2282,10193,21826,21826
100_500_3_1_5,4823,4752,1379,4952,4952,4952
100_500_3_2_5,9156,5073,751,9201,9201,9201
100_500_3_3_5,12674,4704,870,12882,12952,12952
100_500_3_4_5,16644,6005,937,15345,16707,16706
100_500_3_5_5,20227,4845,855,11439,20603,20603
100_500_4_1_5,4580,4582,4582,4582,4582,4582
100_500_4_2_5,8624,4883,4494,8631,8631,8631
100_500_4_3_5,12237,4544,4230,12252,12252,12252
100_500_4_4_5,15873,5825,4964,15887,15887,15887
100_500_4_5_5,19582,4647,4124,11203,19693,19693
100_1000_1_1_5,21538,8110,12125,21538,21538,21538
100_1000_1_2_5,30553,12406,10721,23099,30553,30553
100_1000_1_3_5,42765,9951,12494,16932,42821,42821
100_1000_1_4_5,45810,11711,11150,13648,45810,45810
100_1000_1_5_5,50922,8658,12439,8806,50973,50973
100_1000_2_1_5,10649,10030,9108,10713,10713,10713
100_1000_2_2_5,20352,10948,6805,19409,20438,20438
100_1000_2_3_5,28773,10031,8148,16473,28814,28814
100_1000_2_4_5,36279,9586,5290,11198,36285,36285
100_1000_2_5_5,41099,11833,4758,12271,41106,41106
100_1000_3_1_5,8983,9158,2151,9388,9388,9388
100_1000_3_2_5,17374,11588,1595,17375,17535,17535
100_1000_3_3_5,27155,9742,1520,17476,27192,27192
100_1000_3_4_5,32908,12542,1469,14525,33697,33697
100_1000_3_5_5,39769,9845,1354,10955,40603,40603
100_1000_4_1_5,8991,8998,8998,8998,8998,8998
100_1000_4_2_5,16959,11398,11260,16965,16965,16964
100_1000_4_3_5,26494,9477,8730,18480,26502,26502
100_1000_4_4_5,32885,12352,10464,14582,32887,32887
100_1000_4_5_5,39495,9655,8624,10986,39693,39693
500_50_1_1_5,5900,577,639,5900,5900,5900
500_50_1_2_5,8111,465,549,5016,8111,8111
500_50_1_3_5,10227,401,513,3501,10227,10227
500_50_1_4_5,11913,561,485,2680,11913,11913
500_50_1_5_5,12777,596,480,1809,12777,12777
500_50_2_1_5,2629,475,101,2629,2629,2629
500_50_2_2_5,4968,494,98,4586,4968,4968
500_50_2_3_5,7139,363,101,3260,7139,7139
500_50_2_4_5,8921,369,83,2402,8921,8921
500_50_2_5_5,11242,594,89,1915,11243,11242
500_50_3_1_5,4210,679,170,4218,4218,4218
500_50_3_2_5,7076,652,167,6190,7090,7090
500_50_3_3_5,9717,599,161,5088,9723,9723
500_50_3_4_5,12383,606,156,3587,12388,12388
500_50_3_5_5,15359,732,154,2855,15371,15371
500_50_4_1_5,2138,489,406,2138,2138,2138
500_50_4_2_5,4190,462,354,4190,4190,4190
500_50_4_3_5,6173,409,321,3715,6173,6173
500_50_4_4_5,8308,419,305,2580,8308,8308
500_50_4_5_5,10821,542,371,2075,10821,10821
500_100_1_1_5,12554,1116,1209,9055,12563,12563
500_100_1_2_5,16446,1050,1053,5095,16455,16455
500_100_1_3_5,20922,947,1151,3532,20925,20925
500_100_1_4_5,22654,1170,861,2735,22659,22657
500_100_1_5_5,25575,1146,943,1975,25576,25576
500_100_2_1_5,5006,777,183,4761,5007,5007
500_100_2_2_5,9630,1128,166,4948,9630,9630
500_100_2_3_5,13666,769,160,3015,13666,13666
500_100_2_4_5,17475,1028,132,2433,17476,17476
500_100_2_5_5,22108,1252,162,2150,22110,22109
500_100_3_1_5,6259,1146,188,5750,6280,6280
500_100_3_2_5,11205,1252,173,5999,11213,11213
500_100_3_3_5,15793,999,182,3598,15823,15823
500_100_3_4_5,20384,1294,177,3260,20398,20398
500_100_3_5_5,26196,1432,164,2630,26205,26205
500_100_4_1_5,4280,946,787,4280,4280,4280
500_100_4_2_5,8323,1062,854,5456,8323,8323
500_100_4_3_5,12273,809,571,2984,12273,12273
500_100_4_4_5,16307,1099,905,2781,16308,16308
500_100_4_5_5,21655,1242,871,2292,21655,21655
500_500_1_1_5,62304,6043,5529,11541,62328,62328
500_500_1_2_5,79974,5571,4249,5513,79974,79974
500_500_1_3_5,103029,3951,4742,2768,103044,103042
500_500_1_4_5,114925,5711,4841,2866,114940,114940
500_500_1_5_5,128604,4658,5047,1493,128608,128604
500_500_2_1_5,24426,5235,827,10899,24446,24445
500_500_2_2_5,48447,4948,1090,4493,48459,48459
500_500_2_3_5,70895,4582,785,3168,70918,70913
500_500_2_4_5,88929,5246,681,2607,88937,88931
500_500_2_5_5,109428,5434,797,2042,109432,109424
500_500_3_1_5,23197,5895,346,11793,23333,23333
500_500_3_2_5,45372,5073,286,4950,45417,45417
500_500_3_3_5,68317,4704,231,3123,68573,68573
500_500_3_4_5,87321,6005,264,2621,87322,87322
500_500_3_5_5,112612,4845,301,2428,113028,113024
500_500_4_1_5,21313,5705,5106,12150,21313,21313
500_500_4_2_5,42556,4883,3954,4760,42557,42557
500_500_4_3_5,65073,4544,3371,3003,65073,65073
500_500_4_4_5,83242,6123,4505,2531,83242,83242
500_500_4_5_5,108463,4647,3471,2358,108488,108488
500_1000_1_1_5,121989,9043,8728,9043,122093,122093
500_1000_1_2_5,161534,12406,9189,5557,161592,161592
500_1000_1_3_5,204619,9951,9921,2956,204633,204633
500_1000_1_4_5,230673,11711,10132,3229,230711,230711
500_1000_1_5_5,252389,8658,9693,1534,252403,252403
500_1000_2_1_5,48867,13720,1509,13835,48883,48883
500_1000_2_2_5,96127,10948,1573,5178,96131,96131
500_1000_2_3_5,136673,10031,1537,1488,136708,136705
500_1000_2_4_5,182465,9586,1728,2670,182466,182465
500_1000_2_5_5,216990,11833,1846,1831,217026,217026
500_1000_3_1_5,44994,12361,439,12302,45303,45303
500_1000_3_2_5,86564,11588,375,5316,86633,86633
500_1000_3_3_5,132774,9742,333,1641,132833,132824
500_1000_3_4_5,174046,12542,507,2877,174635,174624
500_1000_3_5_5,221314,9845,391,1837,222195,222182
500_1000_4_1_5,43312,12171,10606,12112,43313,43313
500_1000_4_2_5,83721,11398,9954,5226,83723,83723
500_1000_4_3_5,129321,9477,6371,1581,129323,129323
500_1000_4_4_5,170571,12297,9505,2837,170575,170575
500_1000_4_5_5,217629,9619,7066,1807,217655,217655
