Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
100_100_4_2_5,0,11.49921942,10.06179738,1.265518904,0,0.014000177
100_100_4_3_5,0,11.6021347,10.02226543,1.952994108,0.015624285,0.021000385
100_100_4_4_5,0,11.38984728,10.02411103,2.8435359,0.015623331,0.018992901
100_100_4_5_5,0,11.6554513,10.03054714,3.859116316,0.03124547,0.013003826
100_500_1_1_5,0,13.3230176,10.0709455,3.812235355,0.015626192,0.068000793
100_500_1_2_5,0.015604734,10.85983181,10.04618812,8.436925411,0.03124547,0.039000511
100_500_1_3_5,0,11.20234346,10.0309813,10.06181431,0.062494993,0.033998013
100_500_1_4_5,0,11.93665242,10.03102899,10.01494169,0.109368086,0.036998749
100_500_1_5_5,0,11.07733679,10.01666379,10.03058434,0.140598536,0.020961285
100_500_2_1_5,0,13.01470685,10.07887053,3.73410058,0,0.264003038
100_500_2_2_5,0,11.34294009,10.04590368,8.014250517,0.031244755,0.065999031
100_500_2_3_5,0,11.67107701,10.0381856,10.12431002,0.062495708,0.34598279
100_500_2_4_5,0,11.32735133,10.02577138,10.09306192,0.093760729,0.032000303
100_500_2_5_5,0,11.57729363,10.02688289,10.03058648,0.140615702,0.036008596
100_500_3_1_5,0,28.3105135,10.061759,3.734118223,0.015606165,0.048001051
100_500_3_2_5,0,10.68016267,10.03051138,7.671330452,0.04687047,0.021998167
100_500_3_3_5,0,11.18670344,10.02344513,10.06181741,0.093763113,0.076000452
100_500_3_4_5,0,11.78041387,10.02857423,10.01494002,0.140596151,0.113998175
100_500_3_5_5,0,10.84299135,10.01968932,10.01493645,0.187507391,0.035011768
100_500_4_1_5,0,28.91986847,3.166479588,3.140412807,0,0.015002489
100_500_4_2_5,0,11.1867044,10.05683017,6.452685595,0.01560998,0.015021324
100_500_4_3_5,0,11.40543962,10.04617453,10.01493907,0.031244278,0.01599884
100_500_4_4_5,0,11.09295964,10.03054929,10.3829155,0.062495708,0.023000956
100_500_4_5_5,0,11.38978744,10.03050709,10.98362207,0.093742847,0.019999981
100_1000_1_1_5,0,12.40538478,10.07787204,8.093180418,0.015621662,0.021016598
