Problem,Greedy_profit,Greedy_weight,Greedy_time,BF_profit,BF_weight,BF_time,B&B_profit,B&B_weight,B&B_time,DP_profit,DP_weight,DP_time,DP_OR_profit,DP_OR_weight,DP_OR_time,IP_OR_profit,IP_OR_weight,IP_OR_time
50_1000_4_2_5,9345,9345,0,9352,9352,31.65714526,9352,9352,9.936822653,9352,9352,3.546635151,9352,9352,0.015606403,9352,9352,0.044000387
50_1000_4_3_5,13111,13111,0,9477,9477,13.13555717,9451,9451,10.0727613,13162,13162,5.405899286,13162,13162,0,13162,13162,0.053000212
50_1000_4_4_5,17275,17275,0,11892,11892,11.27402568,10924,10924,10.06175971,17306,17306,7.233865976,17306,17306,0.015623808,17306,17306,0.027000427
50_1000_4_5_5,20703,20703,0,9655,9655,11.7335186,8736,8736,10.0461905,20828,20828,9.374376774,20828,20828,0.031250238,20827,20827,0.03399992
100_50_1_1_5,1145,395,0,550,394,11.60852337,494,91,10.03476763,1145,395,0.343726635,1145,395,0,1145,395,0.029933929
100_50_1_2_5,1587,784,0,465,424,11.01484346,646,99,10.04648042,1587,786,0.765553236,1587,786,0,1587,784,0.016000748
100_50_1_3_5,2092,1214,0,401,376,11.24917698,608,122,10.02469254,2093,1216,1.281182289,2093,1216,0,2093,1216,0.014020681
100_50_1_4_5,2441,1575,0,561,382,12.10848618,541,81,10.03056645,2441,1576,1.671761513,2441,1576,0,2441,1575,0.012981415
100_50_1_5_5,2343,2155,0,587,554,11.41262269,555,118,10.00178933,2347,2175,2.390444756,2347,2175,0.015601158,2347,2175,0.024056196
100_50_2_1_5,504,395,0,429,394,14.37988114,280,202,10.07743359,504,396,0.343723774,504,396,0,504,396,0.018999815
100_50_2_2_5,903,786,0,494,496,12.17412257,323,252,10.03914857,906,786,0.703080654,906,786,0,906,786,0.051001549
100_50_2_3_5,1351,1215,0,363,373,11.76561689,263,196,10.03056598,1352,1216,1.249914169,1352,1216,0,1352,1216,0.045998812
100_50_2_4_5,1721,1576,0,369,369,11.24917626,181,125,10.02247787,1722,1576,1.656153202,1722,1576,0,1722,1576,0.018000126
100_50_2_5_5,2269,2175,0,594,598,11.41419721,227,161,10.01148105,2272,2175,2.34357214,2272,2175,0.015623569,2272,2175,0.024000883
100_50_3_1_5,813,403,0,582,402,13.53033018,266,86,10.03976822,817,407,0.343726158,817,407,0,817,407,0.013000011
100_50_3_2_5,1395,815,0,651,461,10.71801662,253,73,10.02776504,1411,831,0.749952078,1411,831,0,1411,831,0.023000002
100_50_3_3_5,1922,1192,0,597,407,11.76478529,247,77,10.03115511,1932,1202,1.156167746,1932,1202,0,1932,1202,0.022998095
100_50_3_4_5,2479,1669,0,606,416,12.80091405,247,77,10.01562357,2497,1687,1.678884983,2497,1687,0.015624046,2497,1687,0.044999361
100_50_3_5_5,2974,2064,0,732,542,10.99923229,243,73,10.01546478,2978,2068,2.109231472,2978,2068,0.015605211,2978,2068,0.01899004
100_50_4_1_5,407,407,0,407,407,28.52928925,407,407,4.783640385,407,407,0.28124547,407,407,0,407,407,0.01398921
100_50_4_2_5,831,831,0,461,461,12.71957231,444,444,10.0461936,831,831,0.640561342,831,831,0,831,831,0.020000219
100_50_4_3_5,1202,1202,0.000998497,402,402,11.76939392,380,380,10.02317762,1202,1202,0.999953508,1202,1202,0.015623569,1202,1202,0.019999743
100_50_4_4_5,1687,1687,0,416,416,11.41951895,364,364,10.00730491,1687,1687,1.453025579,1687,1687,0,1687,1687,0.021001101
100_50_4_5_5,2068,2068,0,542,542,12.0551517,474,474,10.00390148,2068,2068,1.812356949,2068,2068,0,2068,2068,0.011993408
100_100_1_1_5,2710,773,0,1116,713,11.7832799,1253,162,10.03323317,2722,790,0.703077555,2722,790,0,2722,790,0.04094553
100_100_1_2_5,3399,1570,0,1050,930,11.43526006,1156,113,10.03869319,3403,1570,1.546769857,3403,1570,0.015623569,3403,1570,0.024004936
100_100_1_3_5,4142,2234,0,947,659,11.17105365,1225,188,10.01815724,4142,2234,2.343590021,4142,2234,0.015623569,4142,2234,0.02699995
100_100_1_4_5,4811,3265,0,1170,892,12.01625323,1164,186,10.01854467,4819,3276,3.628599882,4819,3276,0.031266689,4819,3276,0.030001402
100_100_1_5_5,4976,4167,0,1146,1082,11.03866673,1153,199,10.00129199,4976,4167,4.748311758,4976,4167,0.031246901,4976,4167,0.015000105
100_100_2_1_5,1005,793,0,777,744,11.53040719,385,260,10.06109524,1008,796,0.675350189,1008,796,0,1008,795,0.073000908
100_100_2_2_5,1803,1568,0,1128,1096,11.56165457,450,322,10.03970838,1811,1570,1.49149847,1811,1570,0,1811,1570,0.025000572
100_100_2_3_5,2472,2241,0,769,713,11.38979316,374,261,10.01943707,2473,2241,2.615549088,2473,2241,0.015601635,2473,2241,0.027000666
100_100_2_4_5,3562,3276,0,1028,1032,11.37422991,487,358,10.02609992,3566,3276,3.401919842,3566,3276,0.015624046,3566,3276,0.029998064
100_100_2_5_5,4408,4174,0,1252,1226,11.43671703,531,410,10.04614925,4411,4175,4.405965805,4411,4175,0.031246424,4411,4175,0.031014681
100_100_3_1_5,1195,805,0,1012,832,14.15528893,367,187,10.03621936,1222,832,0.687453747,1222,832,0,1222,832,0.051000118
100_100_3_2_5,2165,1585,0,1252,1062,10.7648313,310,130,10.0305295,2211,1631,1.499892473,2211,1631,0,2211,1631,0.065000534
100_100_3_3_5,3031,2321,0.000998735,999,809,11.31172991,284,114,10.03057361,3062,2352,2.265473604,3062,2352,0.015643835,3062,2352,0.098000526
100_100_3_4_5,4188,3388,0.00099659,1333,1143,12.40108562,355,185,10.00848627,4220,3420,3.343522549,4220,3420,0.031247139,4220,3420,0.065999269
100_100_3_5_5,5276,4376,0,1432,1242,10.99926353,313,143,10.00552249,5343,4443,4.452831507,5343,4443,0.046851635,5343,4443,0.048018932
100_100_4_1_5,832,832,0,832,832,29.12301803,832,832,5.813527822,832,832,0.578083754,832,832,0,832,832,0.015047073
100_100_4_2_5,1630,1630,0,1062,1062,11.49921942,1060,1060,10.06179738,1631,1631,1.265518904,1631,1631,0,1631,1631,0.014000177
100_100_4_3_5,2352,2352,0,809,809,11.6021347,730,730,10.02226543,2352,2352,1.952994108,2352,2352,0.015624285,2352,2352,0.021000385
100_100_4_4_5,3420,3420,0,1099,1099,11.38984728,964,964,10.02411103,3420,3420,2.8435359,3420,3420,0.015623331,3420,3420,0.018992901
100_100_4_5_5,4438,4438,0,1242,1242,11.6554513,1124,1124,10.03054714,4443,4443,3.859116316,4443,4443,0.03124547,4443,4443,0.013003826
