Problem	Greedy_profit	Greedy_weight	Greedy_time	BF_profit	BF_weight	BF_time	B&B_profit	B&B_weight	B&B_time	DP_profit	DP_weight	DP_time	DP_OR_profit	DP_OR_weight	DP_OR_time	IP_OR_profit	IP_OR_weight	IP_OR_time
50_50_4_3_5	537	537	0	409	409	11.592.942.476.272.500	401	401	10.054.594.039.916.900	537	537	0.20310759544372559	537	537	0.0	537	537	0.03299713134765625
50_50_4_4_5	835	835	0	416	416	11.374.165.296.554.500	374	374	10.072.368.383.407.500	840	840	0.3593471050262451	840	840	0.0	840	840	0.013998031616210938
50_50_4_5_5	1203	1203	0	542	542	11.467.955.112.457.200	486	486	10.046.194.076.538.000	1203	1203	0.5780842304229736	1203	1203	0.0	1203	1203	0.009001731872558594
50_100_1_1_5	1493	362	0	951	367	11.389.845.371.246.300	1493	362	24.529.552.459.716.700	1493	362	0.17188262939453125	1493	362	0.0	1493	362	0.011999845504760742
50_100_1_2_5	1629	813	0	962	782	10.733.625.173.568.700	1346	506	1.009.077.787.399.290	1629	812	0.4062061309814453	1629	812	0.0	1629	813	0.033002614974975586
50_100_1_3_5	2088	1035	0	947	659	11.171.113.967.895.500	1278	325	10.061.813.116.073.600	2088	1035	0.5468363761901855	2088	1035	0.0	2088	1035	0.011985063552856445
50_100_1_4_5	2448	1583	0	1170	892	11.983.541.011.810.300	1236	402	10.055.418.729.782.100	2449	1595	0.8436896800994873	2449	1595	0.0	2449	1595	0.0180056095123291
50_100_1_5_5	2587	2236	0	1146	1082	10.936.738.014.221.100	1253	451	10.035.036.087.036.100	2587	2236	12.499.339.580.535.800	2587	2236	0.0	2587	2236	0.009999752044677734
50_100_2_1_5	480	371	0	434	370	18.795.557.022.094.700	481	373	12.186.789.512.634.200	481	373	0.15625452995300293	481	373	0.0	481	373	0.020002365112304688
50_100_2_2_5	944	823	0	881	823	28.786.625.385.284.400	944	823	9.568.997.621.536.250	944	823	0.3593301773071289	944	823	0.0	944	823	0.023001909255981445
50_100_2_3_5	1188	1039	0,000998974	769	713	12.092.868.566.513.000	747	618	10.080.028.533.935.500	1194	1041	0.5312142372131348	1194	1041	0.0	1194	1041	0.020980358123779297
50_100_2_4_5	1732	1593	0	1028	1032	11.506.457.567.214.900	779	651	10.057.186.126.708.900	1735	1597	0.8593194484710693	1735	1597	0.0	1735	1597	0.024001598358154297
50_100_2_5_5	2355	2244	0	1244	1226	11.546.067.714.691.100	1064	953	10.046.207.904.815.600	2355	2244	1.124.938.726.425.170	2355	2244	0.0	2355	2244	0.03199911117553711
50_100_3_1_5	604	414	0	550	420	28.732.383.251.190.100	610	420	8.084.954.500.198.360	610	420	0.17186331748962402	610	420	0.0	610	420	0.03198575973510742
50_100_3_2_5	1116	846	0	1063	883	10.999.191.761.016.800	602	412	10.077.444.553.375.200	1156	886	0.3749549388885498	1156	886	0.0	1156	886	0.016034603118896484
50_100_3_3_5	1412	1062	0	999	809	12.046.020.269.393.900	467	277	10.061.756.610.870.300	1462	1112	0.5312318801879883	1462	1112	0.0	1462	1112	0.018985986709594727
50_100_3_4_5	2203	1813	0	1294	1104	12.217.918.634.414.600	694	514	10.053.810.119.628.900	2230	1840	0.8905649185180664	2230	1840	0.0	2230	1840	0.0469970703125
50_100_3_5_5	2758	2318	0,000999212	1432	1242	11.030.443.668.365.400	650	470	10.046.778.678.894.000	2851	2411	12.655.227.184.295.600	2851	2411	0.0	2851	2411	0.025998592376708984
50_100_4_1_5	420	420	0	420	420	28.857.375.383.377.000	420	420	0.01558232307434082	420	420	0.140610933303833	420	420	0.0	420	420	0.012999534606933594
50_100_4_2_5	882	882	0	886	886	28.294.888.496.398.900	886	886	5.288.975.477.218.620	886	886	0.32810211181640625	886	886	0.0	886	886	0.008964061737060547
50_100_4_3_5	1111	1111	0	809	809	11.577.313.899.993.800	751	751	10.077.383.518.218.900	1112	1112	0.48433971405029297	1112	1112	0.0	1112	1112	0.009951591491699219
50_100_4_4_5	1833	1833	0	1099	1099	1.162.417.197.227.470	1024	1024	1.004.917.049.407.950	1840	1840	0.7968378067016602	1840	1840	0.0	1840	1840	0.01200103759765625
50_100_4_5_5	2391	2391	0	1242	1242	1.166.413.688.659.660	1136	1136	10.040.651.321.411.100	2411	2411	1.078.033.685.684.200	2411	2411	0.015623807907104492	2411	2411	0.014023780822753906
50_500_1_1_5	5830	2169	0	3894	2236	13.045.953.273.773.100	5860	2251	0.48432374000549316	5860	2251	0.9374525547027588	5860	2251	0.0	5860	2251	0.025996685028076172
50_500_1_2_5	7732	4705	0	5640	4678	1.228.039.264.678.950	6266	3236	10.032.118.797.302.200	7733	4700	21.873.507.499.694.800	7733	4700	0.015623807907104492	7733	4700	0.02002429962158203
50_500_1_3_5	8846	6433	0	3925	4431	11.327.336.549.758.900	5776	3186	10.071.314.811.706.500	8846	6433	3.202.922.821.044.920	8846	6433	0.01564168930053711	8846	6433	0.01399087905883789
50_500_1_4_5	10495	8201	0	5711	5332	12.014.744.520.187.300	6183	2434	10.049.245.357.513.400	10495	8201	410.907.506.942.749	10495	8201	0.015622138977050781	10495	8201	0.011945486068725586
50_500_1_5_5	12145	9027	0	4658	5075	11.108.554.601.669.300	5961	1984	10.054.786.205.291.700	12184	9108	4.952.786.922.454.830	12184	9108	0.015624523162841797	12184	9108	0.014983177185058594
50_500_2_1_5	2617	2221	0	2462	2241	12.514.753.103.256.200	2645	2249	0.07806253433227539	2645	2249	0.8905835151672363	2645	2249	0.0	2645	2249	0.05095934867858887
50_500_2_2_5	5329	4722	0	4870	4706	11.436.659.574.508.600	5336	4722	9.989.368.200.302.120	5336	4722	21.968.863.010.406.400	5336	4722	0.0	5336	4722	0.051000356674194336
50_500_2_3_5	6886	6411	0	4582	4711	1.154.603.123.664.850	4693	4203	1.009.301.233.291.620	6925	6439	32.341.742.515.563.900	6925	6439	0.0	6925	6439	0.0969996452331543
50_500_2_4_5	8734	8231	0	5246	5170	11.249.217.510.223.300	4512	3978	10.093.002.319.335.900	8773	8262	4.140.345.096.588.130	8773	8262	0.0	8773	8262	0.03799891471862793
50_500_2_5_5	9866	9147	0	5375	5218	11.421.040.296.554.500	4002	3342	10.038.355.827.331.500	9873	9157	4.780.922.174.453.730	9873	9157	0.01562356948852539	9873	9157	0.051016807556152344
50_500_3_1_5	2415	2235	0	2347	2237	29.310.465.335.845.900	2415	2235	4.542.511.463.165.280	2415	2235	1.136.436.939.239.500	2415	2235	0.0	2415	2235	0.01899886131286621
50_500_3_2_5	4574	4294	0	4541	4351	2.502.295.207.977.290	2260	2070	10.093.063.116.073.600	4632	4352	20.984.857.082.366.900	4632	4352	0.0	4632	4352	0.07000017166137695
50_500_3_3_5	6070	5720	0	4704	4544	11.327.334.642.410.200	1877	1687	1.005.328.369.140.620	6262	5912	2.992.943.286.895.750	6262	5912	0.01563858985900879	6262	5912	0.10499739646911621
50_500_3_4_5	8853	8453	0	6005	5825	11.967.900.037.765.500	2194	2014	1.006.175.947.189.330	9040	8640	45.622.522.830.963.100	9040	8640	0.015623807907104492	9040	8640	0.08600020408630371
50_500_3_5_5	9999	9549	0	4845	4655	10.999.185.800.552.300	1534	1354	10.035.071.849.822.900	10445	9995	54.996.421.337.127.600	10445	9995	0.031247854232788086	10445	9995	0.1700124740600586
50_500_4_1_5	2232	2232	0	2237	2237	29.169.865.608.215.300	2237	2237	0.0937032699584961	2237	2237	0.7655532360076904	2237	2237	0.0	2237	2237	0.03401327133178711
50_500_4_2_5	4348	4348	0	4352	4352	28.341.784.238.815.300	4352	4352	1.000.444.483.757.010	4352	4352	17.186.329.364.776.600	4352	4352	0.0	4352	4352	0.0379948616027832
50_500_4_3_5	5910	5910	0	4544	4544	11.452.284.812.927.200	4451	4451	10.069.295.167.922.900	5912	5912	2.421.729.326.248.160	5912	5912	0.0	5912	5912	0.025020122528076172
50_500_4_4_5	8639	8639	0	6123	6123	11.217.926.979.064.900	5424	5424	10.061.779.737.472.500	8640	8640	3.687.249.183.654.780	8640	8640	0.0	8640	8640	0.0689992904663086
50_500_4_5_5	9991	9991	0	4647	4647	11.467.929.363.250.700	4236	4236	10.036.218.166.351.300	9995	9995	4.546.549.081.802.360	9995	9995	0.0	9995	9995	0.01999974250793457
50_1000_1_1_5	10128	4907	0	5907	5031	12.561.609.268.188.400	10281	5073	0.3124568462371826	10281	5073	20.936.074.256.896.900	10281	5073	0.0	10281	5073	0.01696491241455078
50_1000_1_2_5	15724	8611	0	11462	8511	3.843.431.282.043.450	15814	8717	7.280.754.327.774.040	15814	8717	39.372.260.570.526.100	15814	8717	0.015625715255737305	15814	8717	0.01805257797241211
50_1000_1_3_5	19867	13600	0	9951	10226	1.188.587.212.562.560	13364	6958	10.083.011.627.197.200	19896	13673	6.874.530.076.980.590	19896	13673	0.015622854232788086	19896	13673	0.01701521873474121
50_1000_1_4_5	21956	16890	0	11711	9832	12.267.370.223.999.000	10747	3785	10.057.486.772.537.200	21988	16917	8.468.190.670.013.420	21988	16917	0.015622615814208984	21988	16917	0.02401447296142578
50_1000_1_5_5	24283	18973	0	7968	7932	11.347.423.553.466.700	13088	2984	1.004.671.859.741.210	23473	18887	10.014.922.142.028.800	24330	19136	0.046868324279785156	24330	19136	0.019001245498657227
50_1000_2_1_5	5644	4936	0	5583	5060	12.824.923.515.319.800	5796	5089	0.07809805870056152	5796	5089	19.842.407.703.399.600	5796	5089	0.0156252384185791	5796	5089	0.07098531723022461
50_1000_2_2_5	9886	8691	0	9018	8714	15.542.149.066.925.000	9917	8696	10.055.906.772.613.500	9961	8721	39.060.022.830.963.100	9961	8721	0.0	9961	8721	0.06000018119812012
50_1000_2_3_5	14491	13687	0	9733	9843	11.923.718.929.290.700	12011	11097	10.093.031.406.402.500	14634	13691	6.593.280.553.817.740	14634	13691	0.01562786102294922	14634	13691	0.0280001163482666
50_1000_2_4_5	17540	16920	0	9087	9239	1.164.128.589.630.120	9563	8662	10.069.847.345.352.100	17623	16928	8.452.549.457.550.040	17623	16928	0.015619993209838867	17623	16928	0.04899907112121582
50_1000_2_5_5	19881	19150	0	11833	12026	1.241.634.750.366.210	8400	7279	10.046.013.355.255.100	19884	19154	9.889.953.374.862.670	19884	19154	0.031246423721313477	19884	19154	0.01799488067626953
50_1000_3_1_5	4455	4255	0	4680	4570	2.124.338.173.866.270	4015	3825	10.121.403.694.152.800	4770	4570	1.906.118.631.362.910	4770	4570	0.015630006790161133	4770	4570	0.015000581741333008
50_1000_3_2_5	9253	8993	0	9515	9345	11.108.559.608.459.400	5356	5166	10.092.228.889.465.300	9612	9352	4.124.715.805.053.710	9612	9352	0.015623331069946289	9612	9352	0.0840156078338623
50_1000_3_3_5	13317	12977	0	9742	9572	119.679.434.299.469	4265	4075	10.084.110.736.846.900	13502	13162	64.862.284.660.339.300	13502	13162	0.031243562698364258	13502	13162	0.020999908447265625
50_1000_3_4_5	17112	16712	0	12072	11892	12.214.731.216.430.600	3666	3486	10.061.765.432.357.700	17706	17306	9.371.326.684.951.780	17706	17306	0.04687047004699707	17705	17305	0.06698465347290039
50_1000_3_5_5	20523	20073	0	9845	9655	11.786.866.903.305.000	2621	2441	10.039.541.959.762.500	21248	20828	1.001.493.787.765.500	21278	20828	0.04689145088195801	21277	20827	0.0339512825012207
50_1000_4_1_5	4555	4555	0	4570	4570	3.032.561.755.180.350	4570	4570	0.09374237060546875	4570	4570	15.623.931.884.765.600	4570	4570	0.0	4570	4570	0.07998299598693848
50_1000_4_2_5	9345	9345	0	9352	9352	31.657.145.261.764.500	9352	9352	9.936.822.652.816.770	9352	9352	3.546.635.150.909.420	9352	9352	0.015606403350830078	9352	9352	0.04400038719177246
50_1000_4_3_5	13111	13111	0	9477	9477	13.135.557.174.682.600	9451	9451	10.072.761.297.225.900	13162	13162	5.405.899.286.270.140	13162	13162	0.0	13162	13162	0.05300021171569824
50_1000_4_4_5	17275	17275	0	11892	11892	11.274.025.678.634.600	10924	10924	1.006.175.971.031.180	17306	17306	7.233.865.976.333.610	17306	17306	0.015623807907104492	17306	17306	0.02700042724609375
50_1000_4_5_5	20703	20703	0	9655	9655	11.733.518.600.463.800	8736	8736	100.461.905.002.594	20828	20828	9.374.376.773.834.220	20828	20828	0.0312502384185791	20827	20827	0.03399991989135742
100_50_1_1_5	1145	395	0	550	394	1.160.852.336.883.540	494	91	10.034.767.627.716.000	1145	395	0.34372663497924805	1145	395	0.0	1145	395	0.029933929443359375
100_50_1_2_5	1587	784	0	465	424	11.014.843.463.897.700	646	99	10.046.480.417.251.500	1587	786	0.7655532360076904	1587	786	0.0	1587	784	0.016000747680664062
